State,County,Year,Poverty_Rate,Median_Household_Income,Total_Population,Pct_Employed_Management,Pct_Employed_Service,Pct_Employed_Sales,Pct_Employed_Construction,Pct_Employed_Production,Center_Care_Medium_Price_Infant,Family_Care_Medium_Price_Infant,Family_Care_to_Center_Care_Discount%,Center_Care_Price_Quartile,Family_Care_Price_Quartile
Maryland,Howard County,2021,5.5,129549,329248,64.9,10.7,15.1,3.9,5.4,405.22,280.05,0.3089,Q4 (High Cost),Q4 (High Cost)
Nevada,Lander County,2022,10.8,92388,5728,34.5,11.9,12.9,23.7,17.0,183.53,128.52,0.2997,Q4 (High Cost),Q3
New Jersey,Morris County,2022,5.0,130808,508816,55.4,11.3,20.4,5.5,7.4,326.62,212.96,0.348,Q4 (High Cost),Q4 (High Cost)
New York,New York County,2021,15.6,93956,1669127,62.8,13.5,17.4,2.0,4.2,323.0,231.67,0.2828,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2016,8.7,108706,226092,68.4,10.5,14.6,3.8,2.6,426.67,301.67,0.293,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2020,3.2,147111,405312,59.9,12.8,17.9,4.2,5.1,390.0,250.0,0.359,Q4 (High Cost),Q4 (High Cost)
California,San Francisco County,2020,10.1,119136,874784,59.1,14.9,17.6,2.9,5.6,503.89,338.31,0.3286,Q4 (High Cost),Q4 (High Cost)
Colorado,Douglas County,2022,3.0,139010,360206,57.2,11.6,21.4,4.2,5.7,401.2,260.5,0.3507,Q4 (High Cost),Q4 (High Cost)
Maryland,Calvert County,2022,4.3,128078,93244,48.5,15.3,16.6,12.8,6.8,323.38,239.21,0.2603,Q4 (High Cost),Q4 (High Cost)
New York,New York County,2020,15.6,89812,1629153,62.3,13.5,17.9,2.1,4.2,346.0,213.33,0.3834,Q4 (High Cost),Q4 (High Cost)
Massachusetts,Norfolk County,2022,6.5,120621,722112,57.8,13.0,18.0,5.2,6.0,555.0,369.75,0.3338,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2019,3.4,142299,395134,59.0,13.1,18.2,4.5,5.2,380.0,250.0,0.3421,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2015,9.0,105763,223945,68.0,10.9,14.9,3.5,2.7,405.0,290.0,0.284,Q4 (High Cost),Q4 (High Cost)
Massachusetts,Middlesex County,2022,7.4,121304,1623109,60.2,12.3,15.6,5.3,6.5,461.55,250.0,0.4583,Q4 (High Cost),Q4 (High Cost)
Virginia,Alexandria City,2020,9.4,102227,158309,60.6,14.9,13.4,5.5,5.6,438.33,266.67,0.3916,Q4 (High Cost),Q4 (High Cost)
Washington,King County,2022,8.4,116340,2254371,56.3,13.4,16.5,5.1,8.7,478.45,346.92,0.2749,Q4 (High Cost),Q4 (High Cost)
California,Alameda County,2022,9.2,122488,1663823,54.1,13.8,17.0,5.7,9.5,515.91,360.65,0.3009,Q4 (High Cost),Q4 (High Cost)
California,San Francisco County,2019,10.3,112449,874961,57.6,15.4,18.0,3.1,5.9,483.11,328.27,0.3205,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2012,4.1,122844,12300,68.1,12.2,15.7,2.6,1.5,314.0,220.0,0.2994,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2020,5.1,124042,322407,63.9,11.0,15.9,3.8,5.3,396.35,272.46,0.3126,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2015,2.7,120522,13308,74.0,9.9,12.1,2.4,1.5,340.0,250.0,0.2647,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hunterdon County,2021,3.7,123373,128807,55.0,11.8,20.3,7.4,5.5,303.73,196.66,0.3525,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax City,2022,10.0,128708,24242,57.4,16.4,15.4,3.9,6.9,345.37,260.14,0.2468,Q4 (High Cost),Q4 (High Cost)
New York,New York County,2019,15.8,86553,1631993,60.9,14.1,18.5,2.2,4.3,369.0,195.0,0.4715,Q4 (High Cost),Q4 (High Cost)
Ohio,Delaware County,2022,4.5,123995,216074,57.4,11.9,19.3,3.7,7.8,295.0,200.0,0.322,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2011,3.9,120332,11840,67.6,12.3,15.8,2.5,1.9,310.0,210.0,0.3226,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2014,8.8,105120,220173,67.1,11.5,15.3,3.4,2.7,397.33,276.67,0.3037,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2014,4.6,120500,13074,68.4,14.1,12.7,2.6,2.3,331.33,240.0,0.2756,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2017,2.9,114795,13843,67.3,11.7,16.1,2.1,2.9,363.33,250.0,0.3119,Q4 (High Cost),Q4 (High Cost)
New Jersey,Morris County,2021,5.0,123727,508347,54.7,12.0,20.6,5.5,7.2,317.85,205.8,0.3525,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2013,4.0,120000,12731,68.7,13.1,13.9,2.9,1.4,322.67,230.0,0.2872,Q4 (High Cost),Q4 (High Cost)
New Jersey,Somerset County,2021,5.1,121695,343950,55.2,12.5,18.8,5.3,8.3,317.95,205.87,0.3525,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2018,3.7,136268,385143,58.3,13.0,18.6,4.7,5.5,370.0,250.0,0.3243,Q4 (High Cost),Q4 (High Cost)
New Jersey,Bergen County,2022,6.8,118714,953243,52.3,12.4,21.2,5.3,8.8,317.71,200.67,0.3684,Q4 (High Cost),Q4 (High Cost)
Maryland,Anne Arundel County,2022,5.8,116009,588109,50.9,13.6,19.8,7.9,7.8,327.39,240.86,0.2643,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2019,5.0,121160,318855,62.1,11.7,16.8,3.7,5.7,387.47,264.87,0.3164,Q4 (High Cost),Q4 (High Cost)
Colorado,Broomfield County,2022,5.0,117541,73946,59.3,11.7,18.2,4.2,6.6,341.4,311.05,0.0889,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2013,8.0,103208,214861,66.8,11.5,15.5,3.4,2.8,389.67,263.33,0.3242,Q4 (High Cost),Q4 (High Cost)
Georgia,Forsyth County,2022,4.6,131660,253225,55.6,10.8,21.5,5.1,6.9,205.0,163.0,0.2049,Q4 (High Cost),Q4 (High Cost)
Virginia,Alexandria City,2019,10.3,100939,157613,59.5,14.7,13.9,5.6,6.2,426.67,263.33,0.3828,Q4 (High Cost),Q4 (High Cost)
Maryland,St. Mary's County,2022,7.6,113668,113814,49.9,14.1,16.3,10.3,9.4,254.45,176.73,0.3054,Q4 (High Cost),Q4 (High Cost)
Maryland,Montgomery County,2022,7.2,125583,1056910,59.0,14.3,15.2,6.0,5.6,414.1,287.64,0.3054,Q4 (High Cost),Q4 (High Cost)
New York,Nassau County,2022,5.4,137709,1389160,49.4,15.7,21.1,6.4,7.4,325.0,300.0,0.0769,Q4 (High Cost),Q4 (High Cost)
Virginia,Falls Church City,2016,2.7,115244,13597,69.5,11.5,15.2,2.2,1.6,351.67,250.0,0.2891,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax City,2010,5.0,97900,22058,54.8,13.1,20.9,7.2,4.0,306.0,200.0,0.3464,Q4 (High Cost),Q4 (High Cost)
New York,New York County,2018,16.6,82459,1632480,60.4,14.0,19.1,2.3,4.3,397.08,194.58,0.51,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2012,7.2,102459,209077,67.0,10.8,15.8,3.7,2.6,382.0,250.0,0.3455,Q4 (High Cost),Q4 (High Cost)
Minnesota,Carver County,2022,3.8,116308,107216,50.7,11.4,20.5,7.2,10.2,390.0,205.0,0.4744,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2018,5.4,117730,315327,60.7,11.9,17.4,4.1,6.0,378.6,257.28,0.3204,Q4 (High Cost),Q4 (High Cost)
Tennessee,Williamson County,2022,4.2,125943,248897,57.4,11.4,22.1,3.4,5.7,211.67,155.0,0.2677,Q4 (High Cost),Q4 (High Cost)
Maryland,Calvert County,2021,4.3,120295,92515,47.6,15.6,17.6,12.4,6.9,308.66,231.34,0.2505,Q4 (High Cost),Q4 (High Cost)
Maryland,Charles County,2022,5.9,116882,167035,43.4,16.7,21.0,9.1,9.7,323.38,239.21,0.2603,Q4 (High Cost),Q4 (High Cost)
Texas,Rockwall County,2022,4.2,121303,110631,50.1,12.8,22.7,6.0,8.4,191.0,167.0,0.1257,Q4 (High Cost),Q4 (High Cost)
New York,Westchester County,2022,8.5,114651,997904,52.4,16.0,18.5,6.7,6.5,325.0,300.0,0.0769,Q4 (High Cost),Q4 (High Cost)
New Jersey,Monmouth County,2022,6.4,118527,643064,50.4,14.0,21.5,6.8,7.3,314.46,203.2,0.3538,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2017,3.7,129588,374558,57.3,13.3,19.9,4.5,5.1,360.0,250.0,0.3056,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hunterdon County,2020,3.9,117858,125063,54.3,12.4,20.6,7.2,5.4,303.79,202.93,0.332,Q4 (High Cost),Q4 (High Cost)
Nevada,Eureka County,2022,17.6,73929,1622,26.9,2.9,16.2,18.7,35.2,189.57,129.25,0.3182,Q4 (High Cost),Q3
California,Placer County,2022,6.8,109375,406608,49.0,15.8,21.9,6.1,7.1,448.93,389.29,0.1328,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2011,7.1,99651,202999,67.2,11.3,14.9,4.0,2.6,362.5,245.0,0.3241,Q4 (High Cost),Q4 (High Cost)
Texas,Collin County,2022,6.3,113255,1079153,55.7,12.0,20.7,4.9,6.8,191.0,167.0,0.1257,Q4 (High Cost),Q4 (High Cost)
Ohio,Delaware County,2021,4.6,116284,211121,57.7,11.7,19.2,3.9,7.5,282.5,190.92,0.3242,Q4 (High Cost),Q4 (High Cost)
California,Santa Clara County,2020,7.2,130890,1924379,55.5,14.3,16.4,5.8,8.0,416.86,327.69,0.2139,Q4 (High Cost),Q4 (High Cost)
Massachusetts,Norfolk County,2021,6.3,112089,720403,56.7,13.3,18.5,5.4,6.0,530.25,352.31,0.3356,Q4 (High Cost),Q4 (High Cost)
California,Marin County,2020,6.9,121671,259441,56.7,14.1,19.1,5.3,4.8,414.79,330.22,0.2039,Q4 (High Cost),Q4 (High Cost)
New Jersey,Morris County,2020,4.8,117298,492715,53.9,12.1,21.4,5.3,7.3,309.08,198.64,0.3573,Q4 (High Cost),Q4 (High Cost)
California,San Francisco County,2018,10.9,104552,870044,56.4,16.1,18.3,3.3,6.0,462.33,318.22,0.3117,Q4 (High Cost),Q4 (High Cost)
Virginia,Powhatan County,2022,4.5,108089,30503,47.2,12.8,21.4,10.7,8.0,207.68,179.58,0.1353,Q4 (High Cost),Q4 (High Cost)
Virginia,Alexandria City,2018,10.6,96733,156505,59.2,14.8,14.6,5.3,6.2,415.0,260.0,0.3735,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2017,5.2,115576,312495,60.9,11.8,18.1,4.1,5.1,369.72,249.69,0.3247,Q4 (High Cost),Q4 (High Cost)
Maryland,Frederick County,2022,6.2,115724,273829,49.9,14.9,18.5,8.6,8.3,324.95,221.53,0.3183,Q4 (High Cost),Q4 (High Cost)
Maryland,Carroll County,2022,5.1,111672,173225,49.1,13.6,18.7,10.0,8.5,323.38,239.21,0.2603,Q4 (High Cost),Q4 (High Cost)
Colorado,Elbert County,2022,4.3,124360,26457,45.7,16.1,17.3,12.7,8.2,280.6,255.65,0.0889,Q4 (High Cost),Q4 (High Cost)
California,Contra Costa County,2022,8.3,120020,1162648,47.1,16.7,19.7,7.5,8.9,481.76,318.61,0.3387,Q4 (High Cost),Q4 (High Cost)
New Jersey,Sussex County,2022,5.5,111094,144808,44.0,14.1,21.7,10.3,9.9,304.5,187.94,0.3828,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax County,2020,5.9,127866,1149439,58.9,14.5,16.1,5.2,5.4,398.33,250.0,0.3724,Q4 (High Cost),Q4 (High Cost)
Texas,Glasscock County,2022,5.2,112188,1068,43.6,1.7,9.5,33.9,11.2,155.0,138.0,0.1097,Q3,Q3
Massachusetts,Middlesex County,2021,7.4,111790,1623411,59.2,12.6,16.3,5.3,6.6,460.16,262.5,0.4295,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2014,5.1,110133,299269,60.2,10.9,20.0,4.6,4.4,340.0,250.0,0.2647,Q4 (High Cost),Q4 (High Cost)
New Jersey,Somerset County,2020,5.1,116510,330151,54.4,12.8,19.5,5.3,8.0,310.36,204.7,0.3404,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2016,4.9,113800,308447,60.5,11.3,19.0,4.2,4.9,359.81,249.79,0.3058,Q4 (High Cost),Q4 (High Cost)
Maryland,Howard County,2013,4.6,109865,293821,60.5,10.5,20.3,4.4,4.3,330.09,250.1,0.2423,Q4 (High Cost),Q4 (High Cost)
New Jersey,Morris County,2019,4.8,115527,493379,52.7,12.5,22.3,5.1,7.4,300.31,191.48,0.3624,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hunterdon County,2019,4.5,115379,124823,52.1,13.7,21.2,7.5,5.5,303.84,209.2,0.3115,Q4 (High Cost),Q4 (High Cost)
Maryland,Harford County,2022,7.1,106417,261059,48.0,13.9,20.7,7.6,9.8,324.95,221.53,0.3183,Q4 (High Cost),Q4 (High Cost)
Connecticut,Middlesex County,2022,6.2,95884,165509,48.2,14.5,21.2,7.4,8.7,350.0,250.0,0.2857,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2012,3.5,122068,314980,56.1,11.7,22.1,4.9,5.2,320.0,220.0,0.3125,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2016,4.0,125672,362435,56.5,13.1,20.4,4.6,5.3,350.0,250.0,0.2857,Q4 (High Cost),Q4 (High Cost)
New Hampshire,Rockingham County,2022,4.8,110225,315169,47.3,13.3,20.5,8.7,10.1,307.67,211.62,0.3122,Q4 (High Cost),Q4 (High Cost)
Massachusetts,Nantucket County,2022,4.9,135590,14065,44.6,17.2,14.1,15.8,8.4,352.0,275.0,0.2188,Q4 (High Cost),Q4 (High Cost)
New York,New York County,2017,17.3,79781,1653877,60.0,13.9,20.0,2.2,3.8,425.16,194.16,0.5433,Q4 (High Cost),Q4 (High Cost)
Minnesota,Washington County,2022,4.7,110828,268651,50.3,13.6,19.8,6.1,10.3,390.0,205.0,0.4744,Q4 (High Cost),Q4 (High Cost)
Maryland,Charles County,2021,6.4,107808,165209,44.2,16.1,21.3,9.3,9.1,308.66,231.34,0.2505,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2011,3.4,120096,303329,56.0,10.9,22.8,5.2,5.1,309.5,210.0,0.3215,Q4 (High Cost),Q4 (High Cost)
California,San Mateo County,2020,6.2,128091,765623,51.2,15.9,19.2,5.9,7.9,434.65,327.19,0.2472,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2013,3.6,122238,326477,56.5,11.8,21.7,4.8,5.1,326.67,230.0,0.2959,Q4 (High Cost),Q4 (High Cost)
Virginia,Stafford County,2022,5.4,128036,157606,49.0,16.8,18.1,8.3,7.8,222.51,207.64,0.0668,Q4 (High Cost),Q4 (High Cost)
New Jersey,Bergen County,2021,6.6,109497,952979,51.3,12.4,21.8,5.6,9.0,309.76,200.56,0.3525,Q4 (High Cost),Q4 (High Cost)
Virginia,Appomattox County,2010,13.8,49224,14653,25.0,18.7,22.2,15.0,19.2,110.0,93.0,0.1545,Q1 (Low Cost),Q1 (Low Cost)
Minnesota,Scott County,2022,5.0,118268,151347,44.3,14.1,20.8,7.4,13.4,390.0,205.0,0.4744,Q4 (High Cost),Q4 (High Cost)
Colorado,Gilpin County,2022,9.3,95902,5856,49.5,17.8,20.1,6.5,6.2,294.35,232.05,0.2117,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2014,3.8,123966,338916,56.4,12.3,21.2,4.9,5.2,333.33,240.0,0.28,Q4 (High Cost),Q4 (High Cost)
Virginia,Loudoun County,2015,4.0,123453,351129,56.4,12.9,20.8,4.6,5.3,340.0,250.0,0.2647,Q4 (High Cost),Q4 (High Cost)
Washington,King County,2021,8.4,106326,2240876,55.0,13.8,17.2,5.2,8.8,450.0,330.0,0.2667,Q4 (High Cost),Q4 (High Cost)
New Jersey,Somerset County,2019,5.1,113611,329838,54.3,12.7,20.4,5.2,7.4,302.77,203.52,0.3278,Q4 (High Cost),Q4 (High Cost)
Iowa,Dallas County,2022,5.7,99533,100367,53.9,11.3,19.1,5.9,9.8,185.43,125.13,0.3252,Q4 (High Cost),Q3
Maryland,Howard County,2015,5.2,110238,304115,60.0,11.2,19.6,4.4,4.8,349.91,249.9,0.2858,Q4 (High Cost),Q4 (High Cost)
Georgia,Forsyth County,2021,5.3,120999,245754,54.4,11.0,22.5,5.2,6.9,200.0,160.0,0.2,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hunterdon County,2018,4.8,112535,125051,52.4,13.0,21.5,7.1,6.0,303.89,215.46,0.291,Q4 (High Cost),Q4 (High Cost)
Virginia,Fauquier County,2022,5.8,122785,73290,46.8,14.9,18.6,11.1,8.6,276.3,208.11,0.2468,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax County,2019,6.1,124831,1145862,57.5,15.1,16.7,5.4,5.3,386.67,250.0,0.3535,Q4 (High Cost),Q4 (High Cost)
Kansas,Johnson County,2022,5.3,103644,610742,54.4,11.9,21.1,4.4,8.2,223.73,161.73,0.2771,Q4 (High Cost),Q4 (High Cost)
New York,Putnam County,2022,6.3,120970,97942,47.0,17.7,19.2,8.8,7.3,325.0,300.0,0.0769,Q4 (High Cost),Q4 (High Cost)
Maryland,Montgomery County,2021,7.0,117345,1057201,58.6,14.4,15.7,5.8,5.5,405.22,280.05,0.3089,Q4 (High Cost),Q4 (High Cost)
Maryland,Anne Arundel County,2021,5.6,108048,584064,49.6,14.1,20.5,7.8,8.0,311.87,232.66,0.254,Q4 (High Cost),Q4 (High Cost)
Colorado,Jefferson County,2022,6.7,103167,580519,50.9,13.7,20.3,7.1,8.0,415.2,270.95,0.3474,Q4 (High Cost),Q4 (High Cost)
New York,Suffolk County,2022,6.5,122498,1524486,43.4,16.6,21.9,8.8,9.3,325.0,300.0,0.0769,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax City,2019,9.3,116979,23531,58.1,15.7,17.2,4.8,4.3,386.67,250.0,0.3535,Q4 (High Cost),Q4 (High Cost)
New York,Nassau County,2021,5.5,126576,1391678,48.7,15.7,21.7,6.3,7.6,331.33,296.33,0.1056,Q4 (High Cost),Q4 (High Cost)
North Dakota,McKenzie County,2022,13.4,83813,14081,34.0,13.8,16.7,21.7,13.8,239.69,176.35,0.2643,Q4 (High Cost),Q4 (High Cost)
New Jersey,Somerset County,2018,4.7,111772,330176,53.6,12.7,21.3,4.9,7.5,295.18,202.35,0.3145,Q4 (High Cost),Q4 (High Cost)
Washington,Snohomish County,2022,7.6,104083,828337,43.4,15.0,19.5,10.5,11.6,362.85,275.85,0.2398,Q4 (High Cost),Q4 (High Cost)
California,Santa Clara County,2019,7.5,124055,1927470,54.2,14.7,16.8,6.0,8.2,409.31,309.08,0.2449,Q4 (High Cost),Q4 (High Cost)
Maryland,Queen Anne's County,2022,6.9,108332,50316,42.6,16.4,21.8,10.7,8.5,254.45,176.73,0.3054,Q4 (High Cost),Q4 (High Cost)
New Jersey,Burlington County,2022,6.6,102615,461853,47.8,13.4,22.0,6.6,10.2,303.27,197.73,0.348,Q4 (High Cost),Q4 (High Cost)
Virginia,Alexandria City,2017,10.5,93370,154710,58.5,16.0,16.1,4.7,4.7,403.33,256.67,0.3636,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax County,2018,6.2,121133,1143529,56.9,14.9,17.4,5.5,5.3,375.0,250.0,0.3333,Q4 (High Cost),Q4 (High Cost)
New Jersey,Morris County,2018,4.6,111316,494383,52.1,12.4,22.8,5.2,7.4,291.54,184.32,0.3678,Q4 (High Cost),Q4 (High Cost)
Tennessee,Williamson County,2021,3.9,116492,242386,56.4,11.3,22.5,4.1,5.7,205.0,150.0,0.2683,Q4 (High Cost),Q4 (High Cost)
Wisconsin,Waukesha County,2022,4.9,101639,407290,49.5,12.3,21.1,6.3,10.8,293.0,220.0,0.2491,Q4 (High Cost),Q4 (High Cost)
Texas,Collin County,2021,6.5,104327,1039812,54.9,12.0,21.2,5.2,6.6,203.0,176.0,0.133,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hudson County,2022,14.2,86854,712029,47.6,15.2,18.4,6.5,12.3,322.26,200.99,0.3763,Q4 (High Cost),Q4 (High Cost)
Virginia,Prince William County,2022,6.0,123193,481114,47.1,16.9,18.6,8.8,8.5,311.52,224.48,0.2794,Q4 (High Cost),Q4 (High Cost)
Virginia,Lee County,2010,21.2,31352,25434,25.8,18.3,24.5,14.9,16.5,103.0,75.0,0.2718,Q1 (Low Cost),Q1 (Low Cost)
Texas,Rockwall County,2021,3.9,111595,105227,49.7,13.0,22.7,6.5,8.1,203.0,176.0,0.133,Q4 (High Cost),Q4 (High Cost)
Maryland,St. Mary's County,2021,8.0,102859,113209,46.9,14.6,17.6,10.6,10.4,247.03,171.36,0.3063,Q4 (High Cost),Q4 (High Cost)
Virginia,Arlington County,2009,7.2,93806,206405,65.2,12.0,15.0,4.9,2.9,323.5,235.0,0.2736,Q4 (High Cost),Q4 (High Cost)
New York,Richmond County,2022,10.4,96185,492925,42.6,20.7,19.8,8.0,8.9,300.0,250.0,0.1667,Q4 (High Cost),Q4 (High Cost)
New Jersey,Hunterdon County,2017,4.5,110969,125717,51.8,12.9,23.2,6.7,5.5,303.95,221.73,0.2705,Q4 (High Cost),Q4 (High Cost)
California,Marin County,2019,7.2,115246,259943,55.3,14.8,19.6,5.3,5.0,416.29,322.96,0.2242,Q4 (High Cost),Q4 (High Cost)
Virginia,Fairfax City,2020,9.8,109708,23312,57.0,16.7,16.2,5.1,5.0,398.33,250.0,0.3724,Q4 (High Cost),Q4 (High Cost)
Maryland,Calvert County,2020,4.4,112696,92094,45.3,16.0,18.9,13.0,6.8,293.95,223.47,0.2398,Q4 (High Cost),Q4 (High Cost)
Colorado,Denver County,2022,11.7,85853,710800,53.4,13.9,18.2,6.6,7.8,429.95,223.15,0.481,Q4 (High Cost),Q4 (High Cost)
Nevada,White Pine County,2022,9.2,71297,8997,27.7,16.1,21.6,18.3,16.3,183.53,128.52,0.2997,Q4 (High Cost),Q3
Minnesota,Carver County,2021,3.8,107890,105694,49.7,11.6,21.5,7.2,10.0,382.0,200.0,0.4764,Q4 (High Cost),Q4 (High Cost)
New Jersey,Monmouth County,2021,6.5,110356,642160,49.4,14.2,21.8,7.1,7.5,302.72,196.0,0.3525,Q4 (High Cost),Q4 (High Cost)
North Dakota,Burke County,2022,6.5,94583,2184,42.7,18.5,14.7,11.1,13.0,216.32,159.04,0.2648,Q4 (High Cost),Q4 (High Cost)
Minnesota,Dakota County,2022,5.6,101360,439179,46.8,14.0,20.7,6.4,12.1,390.0,205.0,0.4744,Q4 (High Cost),Q4 (High Cost)
Maryland,Charles County,2020,6.8,103678,161448,43.2,17.1,21.7,9.3,8.8,293.95,223.47,0.2398,Q4 (High Cost),Q4 (High Cost)
Virginia,New Kent County,2022,3.9,113120,23296,49.2,11.6,18.1,13.1,8.1,182.96,151.52,0.1718,Q4 (High Cost),Q4 (High Cost)
Texas,Yoakum County,2022,13.6,80317,7630,29.8,12.7,12.7,31.4,13.4,146.0,133.0,0.089,Q3,Q3
California,San Mateo County,2019,6.7,122641,767423,49.6,16.8,19.6,5.9,8.1,428.66,314.52,0.2663,Q4 (High Cost),Q4 (High Cost)
